CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0447507676   2.5794515981   0.8484524362  -0.1734821556   0.2635612271
   3.0437924957   2.5695886857   0.8490753691  -0.1742786910   0.2633101599
   3.0428517697   2.5594338243   0.8497166341  -0.1750609663   0.2630096492
   3.0419297523   2.5489956920   0.8503761183  -0.1758282857   0.2626587987
   3.0410275797   2.5382855248   0.8510535828  -0.1765800042   0.2622568714
   3.0401462744   2.5273152550   0.8517487331  -0.1773155596   0.2618033681
   3.0392868401   2.5160998506   0.8524611074  -0.1780344241   0.2612980281
   3.0384500802   2.5046539818   0.8531902489  -0.1787362238   0.2607407801
   3.0376718139   2.4935090645   0.8539026232  -0.1793910782   0.2601595113
   3.0368858746   2.4817309469   0.8546583783  -0.1800549291   0.2595053242
   3.0361458799   2.4701259569   0.8554062432  -0.1806827871   0.2588220696
   3.0354130751   2.4581053048   0.8561845711  -0.1813077709   0.2580751580
   3.0347139318   2.4461109558   0.8569652088  -0.1819075932   0.2572913135
   3.0340322220   2.4338848351   0.8577653421  -0.1824963893   0.2564537207
   3.0333772111   2.4216066091   0.8585736237  -0.1830663885   0.2555743176
   3.0327438552   2.4092027616   0.8593952689  -0.1836221699   0.2546478187
   3.0321343040   2.3967345476   0.8602265974  -0.1841620334   0.2536786428
   3.0315471697   2.3841961425   0.8610683500  -0.1846873619   0.2526663183
   3.0309825331   2.3716115186   0.8619192495  -0.1851982119   0.2516127649
   3.0304397365   2.3589910707   0.8627789194  -0.1856952867   0.2505188783
   3.0299183567   2.3463500029   0.8636466271  -0.1861790534   0.2493860174
   3.0294178525   2.3337002144   0.8645218240  -0.1866500546   0.2482153663
   3.0289375783   2.3210540919   0.8654039566  -0.1871089422   0.2470080728
   3.0284769848   2.3084231135   0.8662924509  -0.1875562218   0.2457654149
   3.0280353718   2.2958175971   0.8671868451  -0.1879925557   0.2444884608
   3.0276121387   2.2832476368   0.8680866299  -0.1884184718   0.2431784042
   3.0272065471   2.2707224594   0.8689913926  -0.1888346446   0.2418362476
   3.0268179444   2.2582511533   0.8699006782  -0.1892416346   0.2404630953
   3.0264456494   2.2458415653   0.8708141107  -0.1896400235   0.2390599228
   3.0260889680   2.2335012728   0.8717313274  -0.1900303990   0.2376276789
   3.0257472047   2.2212374979   0.8726519831  -0.1904133440   0.2361672727
   3.0254197030   2.2090567693   0.8735757542  -0.1907893891   0.2346795885
   3.0251057510   2.1969653654   0.8745023556  -0.1911591253   0.2331654185
