CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt
   2.9471297243   2.1491308966   0.9292725026  -0.2909508043   0.0816929786
   2.9470446706   2.1496068168   0.9292536347  -0.2910490137   0.0816940202
   2.9469596172   2.1500825105   0.9292347375  -0.2911472176   0.0816951222
   2.9468745640   2.1505579777   0.9292158112  -0.2912454159   0.0816962846
   2.9467895110   2.1510332182   0.9291968557  -0.2913436085   0.0816975071
   2.9467044582   2.1515082321   0.9291778713  -0.2914417955   0.0816987898
   2.9466194056   2.1519830191   0.9291588578  -0.2915399769   0.0817001323
   2.9465343517   2.1524576066   0.9291398062  -0.2916381527   0.0817015558
   2.9464493010   2.1529319312   0.9291207352  -0.2917363211   0.0817030178
   2.9463642488   2.1534060377   0.9291016350  -0.2918344858   0.0817045394
   2.9462791968   2.1538799166   0.9290825061  -0.2919326448   0.0817061204
   2.9461941450   2.1543535683   0.9290633485  -0.2920307981   0.0817077605
   2.9461090932   2.1548269926   0.9290441622  -0.2921289459   0.0817094598
   2.9460240416   2.1553001894   0.9290249472  -0.2922270881   0.0817112180
   2.9459389901   2.1557731587   0.9290057038  -0.2923252246   0.0817130350
   2.9458539387   2.1562459004   0.9289864318  -0.2924233556   0.0817149107
   2.9457688873   2.1567184143   0.9289671314  -0.2925214810   0.0817168449
   2.9456838360   2.1571907005   0.9289478025  -0.2926196008   0.0817188376
   2.9455987847   2.1576627588   0.9289284453  -0.2927177150   0.0817208885
   2.9455137335   2.1581345891   0.9289090599  -0.2928158236   0.0817229976
   2.9454286823   2.1586061913   0.9288896461  -0.2929139266   0.0817251647
   2.9453436312   2.1590775655   0.9288702042  -0.2930120241   0.0817273897
   2.9452585800   2.1595487114   0.9288507342  -0.2931101159   0.0817296725
   2.9451735298   2.1600196113   0.9288312421  -0.2932082022   0.0817319989
   2.9450884764   2.1604903286   0.9288117081  -0.2933062841   0.0817344143
   2.9450034265   2.1609607821   0.9287921542  -0.2934043576   0.0817368695
   2.9449183748   2.1614310224   0.9287725694  -0.2935024272   0.0817393880
   2.9448333240   2.1619010238   0.9287529595  -0.2936004907   0.0817419576
   2.9447482726   2.1623707991   0.9287333217  -0.2936985491   0.0817445843
   2.9446632211   2.1628403456   0.9287136560  -0.2937966019   0.0817472677
   2.9445781696   2.1633096633   0.9286939626  -0.2938946491   0.0817500080
   2.9444931180   2.1637787521   0.9286742416  -0.2939926908   0.0817528048
   2.9444080663   2.1642476121   0.9286544928  -0.2940907269   0.0817556580
   2.9443230144   2.1647162430   0.9286347165  -0.2941887575   0.0817585677
   2.9442379624   2.1651846450   0.9286149127  -0.2942867825   0.0817615335
   2.9441529103   2.1656528178   0.9285950814  -0.2943848019   0.0817645555
   2.9440678580   2.1661207614   0.9285752226  -0.2944828158   0.0817676334
   2.9439828056   2.1665884758   0.9285553364  -0.2945808241   0.0817707672
   2.9438977530   2.1670559608   0.9285354229  -0.2946788268   0.0817739566
   2.9438126997   2.1675232245   0.9285154794  -0.2947768240   0.0817772080
   2.9437276472   2.1679902482   0.9284955115  -0.2948748151   0.0817805085
   2.9436425939   2.1684570451   0.9284755162  -0.2949728013   0.0817838644
